timestamp,seq,device_ms,vibration,adxl_ax,adxl_ay,adxl_az,imu1_roll_deg,imu1_pitch_deg,imu1_total_tilt_deg,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,imu2_roll_deg,imu2_pitch_deg,imu2_total_tilt_deg,distance_cm,mq2_raw,temperature,humidity,buzzer
2026-08-23T06:09:09.597882Z,274,1368253,0,-0.941,-10.748,1.255,-0.31,0.28,0.42,-1.18,1.092,10.247,0.022,-0.029,-0.023,0.17,0.21,0.27,22.3,100,23.8,73.0,0
2026-08-23T06:09:14.611240Z,275,1373253,0,-0.941,-10.866,1.373,0.23,0.22,0.31,-1.159,1.087,10.233,0.023,-0.029,-0.023,0.15,0.11,0.18,21.44,100,23.8,73.0,0
2026-08-23T06:09:19.604367Z,276,1378253,0,-0.981,-10.748,1.294,-0.11,0.48,0.5,-1.185,1.099,10.242,0.023,-0.03,-0.023,0.21,0.24,0.32,21.03,100,23.8,73.0,0
2026-08-23T06:09:24.586000Z,277,1383253,0,-0.981,-10.787,1.412,0.48,0.46,0.67,-1.171,1.118,10.254,0.024,-0.03,-0.023,0.31,0.16,0.35,21.06,100,23.8,73.0,0
2026-08-23T06:09:29.584940Z,278,1388253,0,-1.098,-10.905,1.412,0.4,1.01,1.09,-1.166,1.099,10.266,0.023,-0.029,-0.023,0.2,0.13,0.23,21.03,100,23.8,73.0,0
2026-08-23T06:09:34.600235Z,279,1393263,0,-0.863,-10.748,1.373,0.31,-0.14,0.34,-1.173,1.106,10.254,0.023,-0.03,-0.023,0.24,0.17,0.29,21.03,100,23.8,73.0,0
2026-08-23T06:09:39.594605Z,280,1398263,0,-0.981,-10.866,1.412,0.43,0.42,0.6,-1.173,1.085,10.257,0.024,-0.029,-0.023,0.12,0.17,0.21,21.03,100,23.8,73.0,0
2026-08-23T06:09:44.602257Z,281,1403270,0,-0.902,-10.827,1.451,0.66,0.03,0.66,-1.154,1.106,10.257,0.023,-0.028,-0.022,0.24,0.06,0.25,21.03,100,23.9,73.0,1
2026-08-23T06:09:49.604445Z,282,1408270,0,-0.902,-10.748,1.412,0.51,0.06,0.51,-1.176,1.104,10.238,0.024,-0.029,-0.023,0.24,0.2,0.31,21.03,100,23.8,73.0,1
2026-08-23T06:09:54.629554Z,283,1413270,0,-0.981,-10.827,1.334,0.05,0.45,0.45,-1.178,1.082,10.24,0.024,-0.028,-0.023,0.12,0.21,0.24,21.04,100,24.1,73.0,0
2026-08-23T06:09:59.602567Z,284,1418270,0,-0.941,-10.709,1.334,0.13,0.29,0.32,-1.171,1.094,10.24,0.023,-0.028,-0.022,0.18,0.17,0.25,21.03,100,24.1,73.0,0
