timestamp,seq,device_ms,vibration,adxl_ax,adxl_ay,adxl_az,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,distance_cm,mq2_raw,temperature,humidity,buzzer
2026-08-23T06:06:09.571735Z,238,1188234,0,-0.902,-10.827,1.412,-1.19,1.087,10.293,0.023,-0.028,-0.023,21.03,681,23.8,73.0,0
2026-08-23T06:06:14.590628Z,239,1193234,0,-0.981,-10.787,1.334,-1.161,1.092,10.266,0.023,-0.03,-0.023,21.03,686,23.8,73.0,0
2026-08-23T06:06:19.610560Z,240,1198234,0,-0.941,-10.866,1.334,-1.173,1.085,10.257,0.024,-0.029,-0.023,21.45,685,23.8,73.0,0
2026-08-23T06:06:24.594595Z,241,1203234,0,-0.941,-10.787,1.334,-1.164,1.097,10.24,0.023,-0.03,-0.023,21.03,682,23.8,73.0,1
2026-08-23T06:06:29.572288Z,242,1208234,0,-0.863,-10.787,1.373,-1.178,1.094,10.274,0.022,-0.029,-0.023,21.03,679,23.8,73.0,0
2026-08-23T06:06:34.600570Z,243,1213234,0,-1.02,-10.866,1.491,-1.173,1.077,10.257,0.023,-0.029,-0.023,21.03,683,23.8,73.0,0
2026-08-23T06:06:39.573015Z,244,1218234,0,-0.902,-10.787,1.373,-1.168,1.099,10.247,0.023,-0.029,-0.023,21.03,684,23.8,73.0,0
2026-08-23T06:06:44.599946Z,245,1223245,0,-0.981,-10.787,1.334,-1.152,1.092,10.274,0.024,-0.029,-0.022,22.3,678,23.8,73.0,0
2026-08-23T06:06:49.588220Z,246,1228245,0,-0.824,-10.827,1.334,-1.188,1.099,10.274,0.022,-0.028,-0.023,22.3,685,23.8,73.0,0
2026-08-23T06:06:54.611866Z,247,1233245,0,-0.941,-10.787,1.334,-1.176,1.104,10.269,0.024,-0.028,-0.023,22.28,674,23.8,73.0,0
2026-08-23T06:06:59.588354Z,248,1238245,0,-0.941,-10.748,1.255,-1.166,1.099,10.226,0.022,-0.029,-0.023,22.3,682,23.8,73.0,0
2026-08-23T06:07:04.589621Z,249,1243245,0,-0.863,-10.591,1.255,-1.18,1.104,10.281,0.022,-0.029,-0.023,22.3,683,23.8,73.0,0
2026-08-23T06:07:09.582337Z,250,1248245,0,-0.941,-10.905,1.294,-1.159,1.077,10.266,0.024,-0.029,-0.023,22.3,681,23.8,73.0,1
2026-08-23T06:07:14.585772Z,251,1253245,0,-0.941,-10.748,1.294,-1.168,1.08,10.226,0.024,-0.029,-0.023,21.03,679,23.8,73.0,1
2026-08-23T06:07:19.582099Z,252,1258245,0,-0.863,-10.905,1.334,-1.183,1.075,10.281,0.022,-0.029,-0.023,21.03,682,23.8,73.0,1
2026-08-23T06:07:24.582241Z,253,1263245,0,-1.138,-10.827,1.334,-1.161,1.109,10.25,0.023,-0.027,-0.024,22.3,685,23.8,73.0,0
2026-08-23T06:07:29.580242Z,254,1268245,0,-0.941,-10.787,1.294,-1.178,1.082,10.283,0.022,-0.029,-0.023,22.3,678,23.8,73.0,0
2026-08-23T06:07:34.586004Z,255,1273245,0,-1.059,-10.905,1.294,-1.164,1.104,10.23,0.023,-0.029,-0.022,21.44,683,23.8,73.0,0
2026-08-23T06:07:39.580006Z,256,1278245,0,-0.863,-10.827,1.412,-1.171,1.094,10.269,0.022,-0.029,-0.023,22.3,673,23.8,73.0,0
2026-08-23T06:07:44.589238Z,257,1283253,0,-0.941,-10.866,1.334,-1.173,1.094,10.252,0.023,-0.028,-0.023,22.28,670,24.0,73.0,0
2026-08-23T06:07:49.589953Z,258,1288253,0,-0.981,-10.866,1.373,-1.161,1.087,10.23,0.022,-0.029,-0.023,21.44,685,23.8,73.0,0
2026-08-23T06:07:54.621602Z,259,1293253,0,-1.02,-10.748,1.334,-1.178,1.092,10.262,0.023,-0.028,-0.022,21.03,671,23.8,73.0,0
2026-08-23T06:07:59.586482Z,260,1298253,0,-1.059,-10.905,1.412,-1.204,1.099,10.257,0.023,-0.029,-0.023,21.03,678,23.8,73.0,0
2026-08-23T06:08:04.589307Z,261,1303253,0,-0.981,-10.748,1.334,-1.183,1.111,10.276,0.022,-0.028,-0.023,21.03,673,23.8,73.0,1
2026-08-23T06:08:09.588495Z,262,1308253,0,-0.941,-10.748,1.451,-1.168,1.08,10.254,0.023,-0.029,-0.023,21.03,676,23.8,73.0,1
2026-08-23T06:08:14.586598Z,263,1313253,0,-0.981,-10.905,1.373,-1.178,1.092,10.247,0.023,-0.029,-0.024,21.03,678,23.8,73.0,0
2026-08-23T06:08:19.617400Z,264,1318253,0,-0.941,-10.748,1.373,-1.171,1.099,10.269,0.024,-0.028,-0.022,21.03,675,23.8,73.0,0
2026-08-23T06:08:24.620844Z,265,1323253,0,-0.824,-10.827,1.334,-1.164,1.087,10.293,0.023,-0.028,-0.023,21.03,672,23.8,73.0,0
2026-08-23T06:08:29.604543Z,266,1328253,0,-0.902,-10.748,1.294,-1.161,1.099,10.283,0.023,-0.028,-0.023,21.03,677,23.8,73.0,0
2026-08-23T06:08:34.772752Z,267,1333253,0,-0.902,-10.787,1.294,-1.166,1.106,10.278,0.023,-0.029,-0.023,21.03,679,23.8,73.0,0
2026-08-23T06:08:39.586558Z,268,1338253,0,-0.941,-10.787,1.373,-1.14,1.097,10.242,0.023,-0.029,-0.023,21.03,674,23.8,73.0,0
2026-08-23T06:08:44.586167Z,269,1343253,0,-1.02,-10.827,1.334,-1.159,1.087,10.259,0.023,-0.029,-0.023,21.03,675,23.8,73.0,0
2026-08-23T06:08:49.590547Z,270,1348253,0,-1.02,-10.905,1.412,-1.147,1.094,10.269,0.023,-0.029,-0.022,21.03,676,23.8,73.0,1
2026-08-23T06:08:54.617807Z,271,1353253,0,-1.059,-10.787,1.373,-1.176,1.089,10.175,0.023,-0.03,-0.024,21.03,668,23.8,73.0,1
2026-08-23T06:08:59.585149Z,272,1358253,0,-0.902,-10.787,1.373,-1.149,1.106,10.317,0.023,-0.029,-0.022,21.44,673,23.8,73.0,1
2026-08-23T06:09:04.597843Z,273,1363253,0,-1.059,-10.905,1.255,-1.176,1.099,10.262,0.022,-0.029,-0.023,21.03,672,23.8,73.0,0
2026-08-23T06:09:09.597882Z,274,1368253,0,-0.941,-10.748,1.255,-1.18,1.092,10.247,0.022,-0.029,-0.023,22.3,669,23.8,73.0,0
